idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
3,376.1717529296875,183.51148986816406,1722443391587.118,0.7700000000000001,0.65,0.75
3,375.97271728515625,184.9556884765625,1722443391587.121,0.7700000000000001,0.65,0.75
3,375.77947998046875,186.43563842773438,1722443391587.125,0.7700000000000001,0.65,0.75
3,375.5782470703125,188.12252807617188,1722443391587.133,0.7700000000000001,0.65,0.75
3,375.3601989746094,190.0516357421875,1722443391587.137,0.7800000000000001,0.65,0.75
3,375.121337890625,192.068115234375,1722443391587.141,0.7800000000000001,0.65,0.75
3,374.8740539550781,193.8960723876953,1722443391587.148,0.7800000000000001,0.65,0.75
3,374.6318664550781,195.4508819580078,1722443391587.149,0.7800000000000001,0.65,0.75
3,374.3995056152344,196.8345489501953,1722443391587.153,0.7900000000000001,0.65,0.75
3,374.1593933105469,198.2068634033203,1722443391587.157,0.7900000000000001,0.65,0.75
3,373.8964538574219,199.64419555664062,1722443391587.165,0.7900000000000001,0.65,0.75
3,373.6036071777344,201.1382293701172,1722443391587.168,0.7900000000000001,0.65,0.75
3,373.28729248046875,202.64865112304688,1722443391587.171,0.8000000000000002,0.65,0.75
3,372.94342041015625,204.15623474121094,1722443391587.175,0.8000000000000002,0.65,0.75
3,372.5756530761719,205.65890502929688,1722443391587.181,0.8000000000000002,0.65,0.75
3,372.19586181640625,207.14749145507812,1722443391587.183,0.8000000000000002,0.66,0.73
3,371.8243713378906,208.59246826171875,1722443391587.187,0.8000000000000002,0.66,0.73
3,371.4688720703125,209.96177673339844,1722443391587.192,0.8000000000000002,0.66,0.73
3,371.1250915527344,211.22792053222656,1722443391587.2,0.8000000000000002,0.66,0.73
3,370.7935485839844,212.3861846923828,1722443391587.2,0.8000000000000002,0.66,0.73
3,370.4933166503906,213.4477996826172,1722443391587.203,0.8000000000000002,0.66,0.73
3,370.244140625,214.43072509765625,1722443391587.207,0.8000000000000002,0.66,0.73
3,370.04638671875,215.34120178222656,1722443391587.211,0.8000000000000002,0.66,0.73
3,369.8787536621094,216.1752471923828,1722443391587.217,0.8000000000000002,0.66,0.73
3,369.7179870605469,216.9346923828125,1722443391587.221,0.8000000000000002,0.66,0.73
3,369.5523681640625,217.62905883789062,1722443391587.225,0.8000000000000002,0.66,0.73
3,369.38134765625,218.26490783691406,1722443391587.232,0.8000000000000002,0.66,0.73
3,369.21820068359375,218.84620666503906,1722443391587.233,0.8000000000000002,0.66,0.73
3,369.0782165527344,219.37322998046875,1722443391587.236,0.8000000000000002,0.66,0.73
3,368.978515625,219.8326416015625,1722443391587.241,0.8100000000000002,0.66,0.73
